id;alcoholism;birthday;diabetes;dni;gender;handicapped;hypertension;lastname;name;neighborhood;social_security_plan;;;;;;;;;;;;;;;;
17;0;1952-07-07;0;9234568;1;0;0;Perez;Olivia;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'17',;b'0',;';1952-07-07;',;b'0',;'9234568',;b'1',;b'0',;b'0',;'Perez',;'Olivia',;'Lanus',;"b'1');"
18;0;1981-01-19;0;28567532;0;0;0;Maldini;Andres;Banfield;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'18',;b'0',;';1981-01-19;',;b'0',;'28567532',;b'0',;b'0',;b'0',;'Maldini',;'Andres',;'Banfield',;"b'1');"
19;0;1980-07-03;0;26123982;0;0;0;Titolo;Sebastian;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'19',;b'0',;';1980-07-03;',;b'0',;'26123982',;b'0',;b'0',;b'0',;'Titolo',;'Sebastian',;'Lanus',;"b'1');"
20;0;1990-10-02;1;37091840;1;0;0;Ensilla;Camila;Lomas;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'20',;b'0',;';1990-10-02;',;b'1',;'37091840',;b'1',;b'0',;b'0',;'Ensilla',;'Camila',;'Lomas',;"b'0');"
21;0;1982-07-07;0;290911112;0;0;0;Burgos;Roberto;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'21',;b'0',;';1982-07-07;',;b'0',;'290911112',;b'0',;b'0',;b'0',;'Burgos',;'Roberto',;'CABA',;"b'1');"
22;0;1977-09-10;0;25763201;0;0;1;Fernandez;Hugo;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'22',;b'0',;';1977-09-10;',;b'0',;'25763201',;b'0',;b'0',;b'1',;'Fernandez',;'Hugo',;'CABA',;"b'1');"
23;1;1967-01-28;1;18888881;0;0;1;Castro;German;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'23',;b'1',;';1967-01-28;',;b'1',;'18888881',;b'0',;b'0',;b'1',;'Castro',;'German',;'Lomas',;"b'1');"
24;0;1979-09-10;0;261117625;0;0;0;Palmiero;Sebastian;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'24',;b'0',;';1979-09-10;',;b'0',;'261117625',;b'0',;b'0',;b'0',;'Palmiero',;'Sebastian',;'CABA',;"b'1');"
25;0;1986-06-28;0;33554109;0;0;0;Bermudez;Gustavo;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'25',;b'0',;';1986-06-28;',;b'0',;'33554109',;b'0',;b'0',;b'0',;'Bermudez',;'Gustavo',;'Lomas',;"b'1');"
26;1;1983-08-12;0;31311256;0;0;0;Lucia;Anabela;Temperley;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'26',;b'1',;';1983-08-12;',;b'0',;'31311256',;b'0',;b'0',;b'0',;'Lucia',;'Anabela',;'Temperley',;"b'0');"
27;0;1985-12-12;0;30137911;0;0;0;Saccani;Sebastian;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'27',;b'0',;';1985-12-12;',;b'0',;'30137911',;b'0',;b'0',;b'0',;'Saccani',;'Sebastian',;'CABA',;"b'1');"
28;0;1989-06-13;0;36009272;1;0;0;Saccani;Natalia;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'28',;b'0',;';1989-06-13;',;b'0',;'36009272',;b'1',;b'0',;b'0',;'Saccani',;'Natalia',;'Lanus',;"b'1');"
29;1;1990-01-13;0;40192827;0;0;0;Damele;Natalia;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'29',;b'1',;';1990-01-13;',;b'0',;'40192827',;b'0',;b'0',;b'0',;'Damele',;'Natalia',;'Lanus',;"b'0');"
30;0;1994-11-19;0;45029126;0;0;0;Matera;Eliana;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'30',;b'0',;';1994-11-19;',;b'0',;'45029126',;b'0',;b'0',;b'0',;'Matera',;'Eliana',;'CABA',;"b'1');"
31;0;1986-09-20;0;33245927;1;0;0;Persiani;Florencia;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'31',;b'0',;';1986-09-20;',;b'0',;'33245927',;b'1',;b'0',;b'0',;'Persiani',;'Florencia',;'Lomas',;"b'1');"
32;1;1991-05-12;0;37726189;1;0;0;De Lucca;Florencia;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'32',;b'1',;';1991-05-12;',;b'0',;'37726189',;b'1',;b'0',;b'0',;'De Lucca',;'Florencia',;'Lanus',;"b'0');"
33;0;1968-05-04;0;13916645;0;0;0;Ponce;Norma;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'33',;b'0',;';1968-05-04;',;b'0',;'13916645',;b'0',;b'0',;b'0',;'Ponce',;'Norma',;'CABA',;"b'1');"
34;0;1995-06-13;0;46782722;1;0;0;Salamanca;Florencia;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'34',;b'0',;';1995-06-13;',;b'0',;'46782722',;b'1',;b'0',;b'0',;'Salamanca',;'Florencia',;'Lanus',;"b'1');"
35;0;1982-05-14;0;29786687;1;0;0;Apodaca;Vanesa;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'35',;b'0',;';1982-05-14;',;b'0',;'29786687',;b'1',;b'0',;b'0',;'Apodaca',;'Vanesa',;'Lanus',;"b'1');"
36;0;1988-03-27;0;35781115;0;0;0;Perez;Gabriel;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'36',;b'0',;';1988-03-27;',;b'0',;'35781115',;b'0',;b'0',;b'0',;'Perez',;'Gabriel',;'Lanus',;"b'1');"
37;0;1984-07-10;0;31766985;0;0;0;Marcec;Gonzalo;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'37',;b'0',;';1984-07-10;',;b'0',;'31766985',;b'0',;b'0',;b'0',;'Marcec',;'Gonzalo',;'Lanus',;"b'1');"
38;0;1953-01-17;0;10664879;0;0;1;Arias;Julio;Lanus;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'38',;b'0',;';1953-01-17;',;b'0',;'10664879',;b'0',;b'0',;b'1',;'Arias',;'Julio',;'Lanus',;"b'0');"
39;0;1955-06-25;0;9215788;1;0;0;Leguizamon;Beatriz;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'39',;b'0',;';1955-06-25;',;b'0',;'9215788',;b'1',;b'0',;b'0',;'Leguizamon',;'Beatriz',;'Lanus',;"b'1');"
40;0;1983-02-22;0;30127532;0;0;0;Vallarino;Cristian;Banfield;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'40',;b'0',;';1983-02-22;',;b'0',;'30127532',;b'0',;b'0',;b'0',;'Vallarino',;'Cristian',;'Banfield',;"b'1');"
41;0;1980-01-25;0;26742442;1;0;0;Arias;Victoria;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'41',;b'0',;';1980-01-25;',;b'0',;'26742442',;b'1',;b'0',;b'0',;'Arias',;'Victoria',;'Lomas',;"b'1');"
42;0;1982-07-09;1;30333982;1;0;0;Garcia;Camila;Lomas;0;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'42',;b'0',;';1982-07-09;',;b'1',;'30333982',;b'1',;b'0',;b'0',;'Garcia',;'Camila',;'Lomas',;"b'0');"
43;0;1981-11-11;0;28447445;1;0;0;Suarez;Gabriela;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'43',;b'0',;';1981-11-11;',;b'0',;'28447445',;b'1',;b'0',;b'0',;'Suarez',;'Gabriela',;'CABA',;"b'1');"
44;0;1978-09-10;0;25725839;0;0;1;De Marco;Francisco;CABA;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'44',;b'0',;';1978-09-10;',;b'0',;'25725839',;b'0',;b'0',;b'1',;'De Marco',;'Francisco',;'CABA',;"b'1');"
45;1;1970-03-03;1;20876091;0;0;1;Dissi;Emilio;Lomas;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'45',;b'1',;';1970-03-03;',;b'1',;'20876091',;b'0',;b'0',;b'1',;'Dissi',;'Emilio',;'Lomas',;"b'1');"
46;0;1985-09-01;0;33445775;1;0;0;De Ojo;Iris;Lanus;1;;INSERT INTO `tfi-sala_espera_virtual`.`patients` (`id`, `alcoholism`, `birthday`, `diabetes`, `dni`, `gender`, `handicapped`, `hypertension`, `lastname`, `name`, `neighborhood`, `social_security_plan`) VALUES (;'46',;b'0',;';1985-09-01;',;b'0',;'33445775',;b'1',;b'0',;b'0',;'De Ojo',;'Iris',;'Lanus',;"b'1');"
